steps,collision,speed,object collision,velocity violation,velocity,success,return
32439,1,0,0,1,,0,-98.6104939135983
32640,0,0,0,0,0.267091079649291,0,-68.1308278610883
32841,0,0,0,0,,0,-47.4972724942228
33000,2,0,0,2,,0,-129.381929733446
33201,0,0,0,0,,0,-96.0730723879232
33360,2,0,0,2,,0,-51.7920779440462
33521,2,0,0,2,0.327442946004329,0,-114.932267383537
33624,0,0,0,0,,1,-173.146490360712
33781,1,0,0,1,,0,-91.3584438300139
33947,2,0,0,2,0.266672521013487,0,-96.0818929507409
34056,0,0,0,0,,1,-85.5185041434341
34257,0,0,0,0,0.202836723239186,0,-170.011724580847
34458,0,0,0,0,0.308825387056936,0,-90.1816957858308
34612,1,0,0,1,0.278225617835328,0,-94.4421893508367
34720,0,0,0,0,,1,-92.2280679563624
34921,0,0,0,0,,0,-90.2835628789824
35122,0,0,0,0,,0,-106.638060794371
35236,0,0,0,0,,1,-120.950911924288
35395,2,0,0,2,0.266110566619636,0,-85.7888319772794
35528,0,0,0,0,,1,-54.4473300210954
35687,0,0,0,0,0.266575820650562,1,-76.6312825706587
35801,0,0,0,0,0.236131147899376,1,-90.9791007419057
35913,0,0,0,0,0.242113388094626,1,-120.585460917601
36070,2,0,0,2,0.260946239963681,0,-155.704735027979
36178,0,0,0,0,0.325670270108091,1,-81.7306389226608
36337,2,0,0,2,,0,-168.603903576664
36439,0,0,0,0,,1,-89.6190457994315
36596,2,0,0,2,,0,-75.5794027683793
36797,0,0,0,0,,0,-204.543230779722
36903,0,0,0,0,0.210763932310032,1,-86.7981107412743
