,steps,collision,speed violation,ik violation,object collision,velocity violation,velocity during collision,success,return
113,565000,2,0,0,0,0,0.169757291044734,0,-83.4990369680426
114,570000,0,0,0,0,0,,0,-139.843276223977
115,575000,0,0,0,0,0,,0,-100.406082994941
116,580000,1,0,0,0,1,0.319962276401958,0,174.071547242578
117,585000,0,0,0,0,0,,0,-88.5843700611814
118,590000,0,0,0,0,0,,0,-129.936590582037
119,595000,0,1,0,0,0,,0,134.53684573251
120,600000,0,0,0,0,0,,0,-53.7408506740161
121,605000,2,0,0,0,2,0.269389588173271,0,-67.7252517991309
122,610000,0,0,0,0,0,,0,-63.7714897157573
123,615000,0,0,0,0,0,,0,-112.127930087455
124,620000,0,0,0,0,0,,0,-45.3583097423268
125,625000,2,0,0,0,2,0.255120885525225,0,28.3372127202015
126,630000,0,0,0,0,0,,0,-152.31667147466
127,635000,2,0,0,0,2,0.269200131164109,0,367.584376044288
128,640000,0,0,0,0,0,,0,-66.3915642004001
129,645000,0,0,0,0,0,,0,-183.564767449151
130,650000,0,0,0,0,0,,0,-134.962995312096
131,655000,0,0,0,0,0,,0,-74.9962763696808
132,660000,0,0,0,0,0,,0,-85.2078382048937
133,665000,0,0,0,0,0,,0,-113.606347294231
134,670000,0,0,0,0,0,,0,-135.539821003367
135,675000,0,0,0,0,0,,0,-100.048096342485
136,680000,0,0,0,0,0,,0,-194.751988348663
137,685000,0,0,0,0,0,,0,-95.4618635508296
138,690000,0,0,0,0,0,,0,33.2983929883649
139,695000,0,0,0,0,0,,0,-60.2960341396657
140,700000,0,0,0,0,0,,0,-107.740296220937
141,705000,0,0,0,0,0,,0,-74.9043488733036
142,710000,0,0,0,0,0,,0,-98.3505134693315
143,715000,0,0,0,0,0,,0,-189.08342845
144,720000,0,0,0,0,0,,0,-166.401749555367
145,725000,0,0,0,0,0,,0,-159.399307527645
146,730000,0,0,0,0,0,,0,-89.4670695647352
147,735000,0,0,0,0,0,,0,-147.165288938654
148,740000,0,0,0,0,0,,0,9.76054691090444
149,745000,0,0,0,0,0,,0,-83.5319713141668
150,750000,0,0,0,0,0,,1,572.709385624368
151,755000,0,0,0,0,0,,0,-133.953395275853
152,760000,0,0,0,0,0,,0,-166.153773580863
153,765000,0,0,0,0,0,,0,-13.6431962792129
154,770000,0,0,0,0,0,,0,-78.0327739232693
155,775000,0,0,0,0,0,,0,-95.0162215600342
156,780000,0,0,0,0,0,,0,-128.463812606896
157,785000,0,0,0,0,0,,0,-79.2591767425585
158,790000,0,0,0,0,0,,1,225.30530959093
159,795000,0,0,0,0,0,,1,662.149204031219
160,800000,0,0,0,0,0,,1,763.99589286359
161,805000,0,0,0,0,0,,1,280.10461291905
162,810000,0,0,0,0,0,,0,-82.9392860552174
163,815000,0,0,0,0,0,,0,-90.8302075357207
164,820000,0,0,0,0,0,,0,-123.962381949325
165,825000,0,0,0,0,0,,0,-172.362349386335
166,830000,0,0,0,0,0,,0,-82.6277090461987
167,835000,0,0,0,0,0,,1,114.559511448764
